x;y;z;e;
239;4;7;46;
83;144;24;8;
182;193;4;43;
53;187;8;32;
91;11;42;45;
284;91;60;34;
133;20;69;1;
225;145;6;46;
214;94;70;7;
0;101;62;22;
173;20;34;8;
58;115;56;49;
159;158;45;42;
22;91;57;34;
147;13;60;38;
252;110;73;32;
295;116;89;46;
58;183;38;47;
182;165;8;28;
156;57;52;23;
219;177;5;5;
112;184;1;48;
279;25;8;36;
76;50;49;15;
161;9;73;20;
6;93;94;28;
97;147;21;46;
53;142;11;29;
84;14;67;10;
36;63;61;10;
212;171;17;6;
212;167;75;41;
168;92;11;50;
52;12;56;17;
138;44;91;6;
139;129;21;48;
15;58;15;12;
134;14;69;31;
236;152;24;46;
254;92;86;8;
216;114;12;22;
7;73;37;13;
193;12;81;46;
127;192;64;16;
68;193;84;5;
148;184;25;37;
213;83;44;41;
207;21;0;16;
216;52;90;39;
248;26;92;12;
195;86;59;12;
187;35;17;12;
145;38;4;7;
95;82;72;16;
5;22;51;30;
52;135;56;5;
134;55;69;31;
265;12;54;12;
230;75;48;40;
292;55;85;38;
168;32;51;30;
180;28;1;25;
167;137;43;4;
70;78;72;41;
24;43;45;47;
65;78;91;20;
106;145;77;7;
190;42;47;46;
80;22;57;37;
105;139;16;28;
93;51;25;7;
247;140;41;28;
213;136;68;14;
61;173;39;29;
262;47;97;32;
223;181;84;33;
245;150;18;32;
298;13;74;35;
44;113;18;15;
165;139;31;44;
37;138;69;2;
3;24;64;4;
88;56;47;20;
205;189;56;42;
161;28;88;16;
174;154;69;35;
293;187;10;24;
164;15;53;21;
57;153;98;13;
234;108;2;36;
223;4;31;20;
99;107;21;27;
208;45;68;48;
48;0;87;23;
150;123;51;45;
168;179;36;15;
282;64;36;48;
273;71;0;25;
269;143;19;9;
183;101;84;9;
130;83;51;20;
170;141;34;17;
120;193;25;33;
1;59;76;8;
114;193;26;25;
29;79;76;1;
170;91;83;20;
68;102;76;38;
15;128;88;35;
198;163;93;10;
129;164;83;6;
5;147;46;48;
277;199;74;36;
248;8;58;49;
45;166;38;43;
125;10;81;14;
219;88;92;7;
296;146;9;19;
299;71;40;33;
281;144;0;4;
276;97;84;40;
294;64;36;25;
102;31;67;35;
120;149;94;38;
183;83;66;24;
280;60;3;38;
271;7;78;44;
272;143;60;12;
94;32;47;34;
72;53;69;50;
8;49;65;10;
44;50;9;42;
196;108;73;18;
57;136;39;13;
2;177;93;45;
105;94;8;10;
288;27;45;21;
215;113;21;35;
186;144;31;43;
153;110;82;9;
277;15;68;29;
4;74;13;24;
141;4;33;11;
222;89;58;46;
275;149;69;44;
135;152;3;14;
190;70;37;10;
282;123;81;35;
41;195;26;15;
73;132;44;16;
267;116;97;3;
248;36;0;7;
113;148;11;21;
278;94;9;19;
103;110;29;10;
27;182;1;25;
116;39;71;42;
112;67;66;28;
281;0;91;30;
155;8;22;41;
268;187;83;46;
219;0;64;4;
153;140;18;21;
128;87;98;7;
118;118;50;29;
52;145;60;11;
250;174;44;37;
18;176;89;6;
16;9;73;50;
41;86;98;12;
232;11;7;38;
61;78;29;14;
121;53;47;26;
189;196;32;7;
38;137;91;48;
149;195;13;41;
110;87;58;35;
217;189;38;10;
69;28;98;8;
122;129;39;38;
127;16;25;22;
3;137;17;24;
55;0;26;22;
91;24;68;15;
85;176;32;30;
224;150;57;32;
270;103;27;43;
97;128;26;34;
283;122;4;4;
211;55;45;48;
124;196;10;30;
104;161;31;11;
119;5;26;18;
282;113;15;38;
142;102;6;24;
49;40;93;13;
132;29;33;36;
138;48;66;5;
192;103;4;33;
17;123;86;27;
136;111;11;7;
92;135;87;5;
150;71;56;5;
183;76;3;13;
97;53;39;4;
216;59;85;6;
158;136;12;1;
220;138;7;15;
174;83;63;9;
79;134;48;15;
84;65;27;3;
134;66;100;8;
222;143;73;6;
106;106;98;5;
119;70;47;4;
211;129;76;2;
197;126;59;7;
93;121;79;10;
198;63;48;15;
86;81;11;8;
193;64;67;5;
123;130;2;12;
129;58;70;7;
112;138;67;8;
188;121;60;15;
127;87;54;11;
178;138;6;10;
135;119;81;10;
138;85;58;14;
107;96;4;4;
196;124;16;1;
179;51;93;15;
181;106;81;13;
90;92;12;4;
109;144;80;10;
213;57;97;13;
123;102;83;11;
124;88;1;10;
150;95;37;1;
143;99;17;10;
108;123;1;5;
175;50;32;13;
92;52;85;5;
214;98;75;5;
125;79;66;9;
204;119;27;8;
86;116;3;11;
167;132;89;4;
140;133;32;15;
135;87;81;4;
91;93;83;14;
86;52;86;9;
106;84;48;5;
175;114;2;7;
85;105;97;5;
127;109;68;15;
200;104;83;1;
154;65;90;8;
84;67;27;6;
186;128;33;10;
113;66;99;2;
202;119;1;3;
180;141;35;5;
163;60;40;11;
164;120;9;15;
198;139;64;11;
173;108;29;3;
130;70;20;10;
155;119;62;9;
101;97;80;13;
88;65;2;7;
197;96;19;7;
77;62;37;6;
101;52;42;3;
125;88;76;12;
179;66;31;13;
90;123;37;10;
131;131;25;8;
93;112;91;6;
197;95;51;11;
87;135;21;5;
143;132;58;13;
128;67;80;6;
124;55;68;5;
219;114;36;8;
149;63;71;9;
157;97;33;14;
77;74;79;11;
219;55;51;10;
122;84;9;3;
131;64;79;10;
80;144;5;9;
183;76;9;15;
93;111;6;5;
130;141;56;3;
198;114;13;15;
221;54;79;4;
191;85;86;7;
85;118;55;2;
138;93;1;12;
211;106;4;10;
110;119;96;1;
180;75;29;11;
168;70;48;3;
85;109;87;3;
179;144;34;15;
196;58;39;15;
122;52;60;3;
133;127;65;14;
120;103;83;7;
85;66;82;12;
218;140;65;11;
110;62;91;4;
150;133;60;2;
164;84;69;15;
81;51;23;3;
148;111;75;13;
174;122;25;12;
220;66;90;8;
200;124;61;5;
87;108;48;3;
91;62;57;2;
155;89;70;6;
128;101;99;12;
148;63;97;13;
93;102;90;14;
222;130;91;15;
181;108;3;2;
88;123;76;5;
193;53;43;13;
158;77;34;8;
188;70;2;10;
190;69;72;4;
165;125;46;13;
88;128;69;4;
169;86;13;4;
166;49;40;9;
151;117;26;7;
167;92;66;15;
190;79;92;8;
179;103;23;12;
120;66;63;10;
185;59;44;9;
120;111;5;2;
169;100;5;11;
159;118;8;6;
214;102;94;13;
143;54;51;5;
125;88;41;5;
186;126;23;8;
184;184;68;41;
242;169;66;31;
189;154;95;39;
220;172;73;37;
