x;y;z;e;
10;10;10;9;
28;36;25;4;
11;25;20;1;
79;45;30;7;
60;40;35;5;
64;28;23;1;
47;22;26;8;
5;20;28;5;
64;16;22;2;
89;47;33;6;
25;14;21;7;
81;15;29;8;
94;34;27;9;
88;40;36;9;
97;43;29;7;
75;15;25;3;
49;7;31;3;
51;12;29;2;
46;30;28;3;
50;39;27;7;
75;31;36;8;
72;9;35;3;
28;47;24;9;
76;24;31;8;
9;43;25;4;
93;28;27;8;
9;14;30;3;
29;28;28;9;
21;21;32;7;
73;45;27;1;
42;26;24;9;
71;33;25;7;
42;16;33;4;
54;25;31;3;
11;47;28;9;
63;33;30;5;
42;48;25;6;
8;39;34;9;
36;47;32;6;
83;3;30;3;
17;32;27;6;
43;6;35;6;
29;42;32;6;
2;6;33;8;
15;22;31;6;
92;19;27;1;
70;28;34;3;
38;29;29;4;
21;6;32;6;
14;5;34;9;
14;41;30;9;
29;11;36;6;
59;12;35;2;
42;39;34;6;
37;18;25;5;
64;47;28;8;
19;37;30;3;
56;37;29;9;
60;3;27;3;
85;7;33;3;
6;8;35;2;
63;7;30;7;
88;28;34;6;
69;3;31;7;
48;2;35;2;
94;10;36;8;
21;14;29;7;
2;12;32;8;
9;19;34;5;
32;35;31;7;
48;35;33;9;
24;10;36;2;
56;4;30;2;
9;29;32;8;
76;40;35;8;
58;45;36;4;
67;22;34;1;
50;44;28;6;
69;16;29;4;
44;43;30;4;
46;16;31;6;
51;20;34;8;
74;5;35;2;
92;15;36;5;
2;36;34;2;
25;41;31;5;
36;41;30;6;
41;33;35;7;
30;24;33;8;
29;17;32;9;
24;28;31;3;
53;48;34;1;
69;37;35;8;
87;12;36;9;
97;38;32;1;
58;24;35;9;
93;24;30;1;
21;33;32;5;
63;11;31;7;
65;2;30;1;
43;2;36;8;
