x;y;z;e;
35;50;18;6;
20;80;15;5;
45;25;12;7;
70;10;30;4;
15;60;8;6;
80;45;16;4;
10;30;5;8;
28;70;10;7;
50;40;22;4;
60;20;3;6;
40;15;18;5;
25;35;6;3;
55;70;25;4;
30;65;12;7;
18;55;9;5;
60;10;16;8;
65;20;22;3;
45;60;3;7;
75;35;30;6;
20;30;8;6;
85;20;16;8;
15;75;5;4;
58;70;10;7;
56;40;22;4;
62;80;3;6;
70;20;18;5;
25;65;6;3;
55;45;25;4;
30;20;12;7;
18;35;9;5;
50;80;16;8;
25;20;22;3;
35;60;3;7;
60;35;30;6;
20;40;8;6;
80;50;16;8;
10;75;5;4;
28;55;10;7;
50;60;22;4;
60;60;3;6;
40;40;18;5;
25;25;6;3;
55;55;25;4;
30;30;12;7;
18;18;9;5;
